序号,日期,期权代码,交易代码,行权价,期权简称,涨跌幅(%),成交额,前结算价,开盘价,最高价,最低价,收盘价,结算价,成交量,持仓量,涨停价,跌停价,Delta,Gamma,Vega,Theta,Rho
80,2022-09-30,10004578,510050P2210M02450,2.4500,50ETF沽2022年10月2450,-15.25,"1,326,019.00",0.0059,0.0052,0.0062,0.0040,0.0050,0.0050,"25,882","36,606",0.2308,0.0001,-0.0720,0.9230,0.0970,-0.1390,-0.0140
81,2022-09-30,10004579,510050C2212M02450,2.4500,50ETF购12月2450,-1.51,"322,734.00",0.2523,0.2675,0.2675,0.2485,0.2485,0.2496,127,919,0.5174,0.0001,0.8060,0.9830,0.3590,-0.2120,0.4600
82,2022-09-30,10004580,510050P2212M02450,2.4500,50ETF沽12月2450,-9.15,"6,070,316.00",0.0306,0.0285,0.0321,0.0256,0.0278,0.0278,"20,820","6,987",0.2555,0.0001,-0.1820,0.9990,0.3460,-0.1280,-0.1240
83,2022-09-30,10004581,510050C2303M02450,2.4500,50ETF购3月2450,-0.97,"152,871.00",0.2979,0.3061,0.3120,0.2950,0.2950,0.2946,50,175,0.5630,0.0328,0.7590,0.8010,0.5690,-0.1780,0.8140
84,2022-09-30,10004582,510050P2303M02450,2.4500,50ETF沽3月2450,-2.49,"665,892.00",0.0562,0.0528,0.0585,0.0504,0.0548,0.0548,"1,229","3,308",0.2811,0.0001,-0.2330,0.8240,0.5580,-0.1000,-0.3180
85,2022-09-30,10004595,510050C2211M02450,2.4500,50ETF购11月2450,-0.83,"545,790.00",0.2300,0.2377,0.2494,0.2279,0.2281,0.2281,230,320,0.4951,0.0001,0.8530,1.0570,0.2340,-0.2280,0.3010
86,2022-09-30,10004596,510050C2211M02500,2.5000,50ETF购11月2500,-1.93,"432,419.00",0.1870,0.1927,0.2055,0.1834,0.1834,0.1838,225,254,0.4521,0.0001,0.8060,1.3670,0.2810,-0.2440,0.2890
87,2022-09-30,10004597,510050C2211M02550,2.5500,50ETF购11月2550,-1.35,"517,358.00",0.1481,0.1535,0.1652,0.1454,0.1461,0.1461,331,536,0.4132,0.0001,0.7280,1.6650,0.3380,-0.2760,0.2640
88,2022-09-30,10004598,510050C2211M02600,2.6000,50ETF购11月2600,-0.79,"1,657,742.00",0.1136,0.1188,0.1275,0.1102,0.1127,0.1127,"1,398",811,0.3787,0.0001,0.6370,1.9040,0.3820,-0.2960,0.2330
89,2022-09-30,10004599,510050C2211M02650,2.6500,50ETF购11月2650,-3.13,"3,681,297.00",0.0831,0.0855,0.0956,0.0805,0.0805,0.0805,"4,184","4,113",0.3482,0.0001,0.5390,2.1340,0.4050,-0.2890,0.1990
90,2022-09-30,10004600,510050C2211M02700,2.7000,50ETF购11月2700,-3.69,"4,413,240.00",0.0597,0.0617,0.0691,0.0575,0.0575,0.0575,"6,962","5,114",0.3199,0.0001,0.4320,2.1190,0.4010,-0.2780,0.1610
91,2022-09-30,10004601,510050C2211M02750,2.7500,50ETF购11月2750,-5.07,"1,842,808.00",0.0414,0.0430,0.0480,0.0390,0.0393,0.0393,"4,184","4,438",0.2966,0.0001,0.3310,1.9700,0.3700,-0.2500,0.1240
92,2022-09-30,10004602,510050C2211M02800,2.8000,50ETF购11月2800,-7.86,"1,701,834.00",0.0280,0.0293,0.0320,0.0252,0.0258,0.0258,"5,809","5,534",0.2782,0.0001,0.2420,1.7060,0.3180,-0.2110,0.0910
93,2022-09-30,10004603,510050C2211M02850,2.8500,50ETF购11月2850,-9.19,"1,829,193.00",0.0185,0.0198,0.0212,0.0161,0.0168,0.0168,"9,626","9,998",0.2637,0.0001,0.1720,1.3790,0.2600,-0.1720,0.0650
94,2022-09-30,10004604,510050P2211M02450,2.4500,50ETF沽11月2450,-9.64,"446,766.00",0.0166,0.0155,0.0174,0.0127,0.0150,0.0150,"2,975","3,298",0.2415,0.0001,-0.1360,1.0540,0.2230,-0.1420,-0.0560
95,2022-09-30,10004605,510050P2211M02500,2.5000,50ETF沽11月2500,-8.87,"709,995.00",0.0248,0.0237,0.0254,0.0188,0.0226,0.0226,"3,208","3,101",0.2597,0.0001,-0.1930,1.3690,0.2800,-0.1700,-0.0790
96,2022-09-30,10004606,510050P2211M02550,2.5500,50ETF沽11月2550,-9.14,"810,194.00",0.0361,0.0345,0.0369,0.0277,0.0328,0.0328,"2,478","2,602",0.2810,0.0001,-0.2660,1.7040,0.3340,-0.1920,-0.1090
97,2022-09-30,10004607,510050P2211M02600,2.6000,50ETF沽11月2600,-6.84,"1,541,761.00",0.0512,0.0489,0.0524,0.0401,0.0477,0.0477,"3,254","2,935",0.3061,0.0001,-0.3570,1.9890,0.3800,-0.2070,-0.1470
98,2022-09-30,10004608,510050P2211M02650,2.6500,50ETF沽11月2650,-4.97,"4,327,514.00",0.0724,0.0692,0.0726,0.0580,0.0688,0.0688,"6,515","4,760",0.3373,0.0001,-0.4610,2.1400,0.4050,-0.2110,-0.1910
99,2022-09-30,10004609,510050P2211M02700,2.7000,50ETF沽11月2700,-4.40,"3,288,688.00",0.0977,0.0933,0.0986,0.0815,0.0934,0.0934,"3,617","3,041",0.3628,0.0001,-0.5710,2.1850,0.4000,-0.1920,-0.2370
